"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";70;"";;;
2;"R5,R4,R17";"0603R";3;"1k";;;
3;"R6,R7,R15,R8";"0402R";4;"2k2";;;
4;"C1";"1206C";1;"10uF";;;
5;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
6;"R10,R1,R13,R11,R12";"0603R";5;"10k";;;
7;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
8;"C3,C4,C6";"0603C";3;"0.1uF";;;
9;"REF**";"Logo-Back-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
10;"C8,C7,C9,C10";"0603C";4;"2.2uF";;;
11;"D2";"0402LED";1;"blue";;;
12;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
13;"K5,K4";"HEADER_MALE_15X1";2;"HEADER_MALE_15X1";;;
14;"G***";"Logo-Front-Soldered-3mm";1;"LOGO";;;
15;"R2,R3";"0603R";2;"5.1k";;;
16;"U3";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
17;"D4";"WS2812B-2020";1;"WS2812B-2020";;;
18;"G***";"Symbol-Front-Battery";1;"LOGO";;;
19;"G***";"Symbol-Front-USB";1;"LOGO";;;
20;"D3";"0402LED";1;"purple";;;
21;"U1";"SOP-16";1;"CH340C";;;
22;"K2";"easyC-connector";1;"easyC-SMD";;;
23;"D1";"0402LED";1;"white";;;
24;"Q2,Q3";"SOT-23-3";2;"NPN-SOT-23-3";;;
25;"G***";"Logo-Front-easyC-5mm";1;"LOGO";;;
26;"D5";"SOD-323";1;"schottky diode";;;
27;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
28;"U2";"ESP32-WROVER";1;"ESP32-WROVER";;;
29;"D6";"0402LED";1;"red";;;
30;"R9";"0603R";1;"100k";;;
31;"SW2,SW1";"YTSA007A0151803B";2;"YTSA007A0151803B";;;
32;"H1,H3";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
33;"C2,C5";"0603C";2;"1uF";;;
34;"K3";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
35;"U4";"TP4056M-MSOP8";1;"TP4056M";;;
36;"R14";"0603R";1;"3k";;;
37;"C11";"0603C";1;"100nF";;;
38;"Q1";"SOT-23-3";1;"PMOS-SOT-23-3";;;
39;"K1";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
40;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
